in,LegalOperators
orderly,LegalOperators
includes,GrammaticalOperators
expenses,LegalReferences
the term,RegulationOperators
necessary,Attributes
costs and,LegalOperators
the actual,LogicalOperators
obligations,LegalReferences
definitions,RegulationOperators
shall apply,LegalReferences
restrictions,RegulationOperators
the following,GrammaticalOperators
in this title,EconomicOperand
administrative,LegalOperators
of the receiver,EconomicOperand
liquidation authority,GrammaticalOperators
