represent,LogicalConnectors
externally,Attributes
code,EconomicOperands
managed,FunctionWords
consider,FunctionWords
limited,FunctionWords
oral,Attributes
issued,FunctionWords
personally,Attributes
be maintained,FunctionWords
results,FunctionWords
(7 u.s.c. 1a),LegalReferences
existing,FunctionWords
facilities,EconomicOperands
manages,FunctionWords
broader,Attributes
testimony,EconomicOperands
sections 4(l),LegalReferences
settlement,EconomicOperands
permitting,RegulatoryOperators
synthetic,Attributes
eligible,RegulatoryOperators
pledged,FunctionWords
acting,FunctionWords
presents,FunctionWords
charge,EconomicOperands
critical,Attributes
consolidated,Attributes
include,Attributes
oversight,EconomicOperands
sections 3c(a)(2)(c),LegalReferences
resources,EconomicOperands
alternating,Attributes
activities,EconomicOperands
are comparable,FunctionWords
borrowing transactions,EconomicOperands
liability,EconomicOperands
novel,Attributes
be treated,FunctionWords
section 10(e)(2),LegalReferences
fullest,Attributes
2(h)(4)(a),LegalReferences
audited financial statements,EconomicOperands
2(h)(3)(a),LegalReferences
positions,EconomicOperands
companies,EconomicOperands
applicable,Attributes
enforce,FunctionWords
large,Attributes
this,FunctionWords
convenience,EconomicOperands
(12 u.s.c. 601604a and 611 through 631),LegalReferences
indices,EconomicOperands
businesses,EconomicOperands
oversight programs,EconomicOperands
section 2(c)(2)(f),LegalReferences
bona fide merger,EconomicOperands
prevent,RegulatoryOperators
wall street,EconomicOperands
findings,FunctionWords
(12 u.s.c. 1813(q)),LegalReferences
consistent,FunctionWords
direct,Attributes
subsection (k)(6)(b),LegalReferences
less than 25 percent,Attributes
netting agreements,EconomicOperands
section 23b,LegalReferences
investment,EconomicOperands
financial assistance,EconomicOperands
established,FunctionWords
appear,FunctionWords
giving,FunctionWords
section,LegalReferences
associate,Attributes
recommendation,EconomicOperands
shares,FunctionWords
uniform,Attributes
(15 u.s.c. 78c),LegalReferences
cease and desist,EconomicOperands
new,Attributes
exercise,FunctionWords
equitable treatment,FunctionWords
supporting,Attributes
deemed,RegulatoryOperators
full,FunctionWords
section 10(b),LegalReferences
exchange,EconomicOperands
respectively,LogicalConnectors
prescribe,RegulatoryOperators
jointly,Attributes
agreement,EconomicOperands
reported,EconomicOperands
operating,EconomicOperands
meet,LogicalConnectors
enforcement actions,EconomicOperands
consideration,FunctionWords
november,EconomicOperands
managerial,EconomicOperands
section 11a,LegalReferences
change,FunctionWords
thrift,EconomicOperands
obtained,FunctionWords
engage,FunctionWords
exemption,RegulatoryOperators
receive,FunctionWords
study,EconomicOperands
10(g)(1),EconomicOperands
reports,LegalReferences
(12 u.s.c. 347b),LegalReferences
amount,Attributes
supervisory matter,EconomicOperands
permit,RegulatoryOperators
action,EconomicOperands
section 5(u)(3),LegalReferences
implement,FunctionWords
makes,Attributes
hart-scott-rodino,EconomicOperands
same meanings,FunctionWords
concerns giving,FunctionWords
