Subsection	NOUN	NN	nsubjpass	
-LRB-	.	-LRB-	punct	
b	X	LS	appos	
-RRB-	.	-RRB-	punct	
of	ADP	IN	prep	
section	NOUN	NN	pobj	
1256	NUM	CD	num	
of	ADP	IN	prep	
the	DET	DT	det	
Internal	NOUN	NNP	nn	
Revenue	NOUN	NNP	nn	
Code	NOUN	NNP	pobj	
of	ADP	IN	prep	
1986	NUM	CD	pobj	
is	VERB	VBZ	auxpass	
amended	VERB	VBN	ROOT	
-LRB-	.	-LRB-	punct	
1	NUM	CD	parataxis	
-RRB-	.	-RRB-	punct	
by	ADP	IN	prep	
redesignating	VERB	VBG	pcomp	
paragraphs	NOUN	NNS	dobj	
-LRB-	.	-LRB-	punct	
1	NUM	CD	appos	
-RRB-	.	-RRB-	punct	
through	ADP	IN	prep	
-LRB-	.	-LRB-	punct	
5	NUM	CD	pobj	
-RRB-	.	-RRB-	punct	
as	ADP	IN	prep	
subparagraphs	NOUN	NNS	pobj	
-LRB-	.	-LRB-	punct	
A	X	LS	appos	
-RRB-	.	-RRB-	punct	
through	ADP	IN	prep	
-LRB-	.	-LRB-	punct	
E	NOUN	NNP	dep	
-RRB-	.	-RRB-	punct	
,	.	,	punct	
respectively	ADV	RB	conj	
,	.	,	punct	
and	CONJ	CC	cc	
by	ADP	IN	conj	
indenting	VERB	VBG	pobj	
such	ADJ	JJ	amod	
subparagraphs	NOUN	NNS	dobj	
-LRB-	.	-LRB-	punct	
as	ADP	IN	prep	
so	ADV	RB	advmod	
redesignated	ADJ	JJ	pobj	
-RRB-	.	-RRB-	punct	
accordingly	ADV	RB	advmod	
,	.	,	punct	
-LRB-	.	-LRB-	punct	
2	X	LS	dep	
-RRB-	.	-RRB-	punct	
by	ADP	IN	prep	
striking	VERB	VBG	pcomp	
For	ADP	IN	prep	
purposes	NOUN	NNS	pobj	
of	ADP	IN	prep	
and	CONJ	CC	cc	
inserting	VERB	VBG	conj	
the	DET	DT	det	
following	VERB	VBG	dobj	
.	.	.	punct	
For	ADP	IN	ROOT	
purposes	NOUN	NNS	pobj	
of	ADP	IN	prep	
,	.	,	punct	
and	CONJ	CC	cc	
-LRB-	.	-LRB-	punct	
3	NUM	CD	conj	
-RRB-	.	-RRB-	punct	
by	ADP	IN	prep	
striking	VERB	VBG	pcomp	
the	DET	DT	det	
last	ADJ	JJ	amod	
sentence	NOUN	NN	dobj	
and	CONJ	CC	cc	
inserting	VERB	VBG	conj	
the	DET	DT	det	
following	VERB	VBG	amod	
new	ADJ	JJ	amod	
paragraph	NOUN	NN	dobj	
.	.	.	punct	
The	DET	DT	det	
term	NOUN	NN	nn	
section	NOUN	NN	nn	
1256	NUM	CD	num	
contract	NOUN	NN	nsubj	
shall	VERB	MD	aux	
not	ADV	RB	neg	
include	VERB	VB	ROOT	
-LRB-	.	-LRB-	punct	
A	NOUN	NN	dobj	
-RRB-	.	-RRB-	punct	
any	DET	DT	det	
securities	NOUN	NNS	nn	
futures	NOUN	NNS	nn	
contract	NOUN	NN	dobj	
or	CONJ	CC	cc	
option	NOUN	NN	conj	
on	ADP	IN	prep	
such	DET	PDT	predet	
a	DET	DT	det	
contract	NOUN	NN	pobj	
unless	ADP	IN	mark	
such	ADJ	JJ	amod	
contract	NOUN	NN	nsubj	
or	CONJ	CC	cc	
option	NOUN	NN	conj	
is	VERB	VBZ	cop	
a	DET	DT	det	
dealer	NOUN	NN	nn	
securities	NOUN	NNS	nn	
futures	NOUN	NNS	nn	
contract	NOUN	NN	advcl	
,	.	,	punct	
or	CONJ	CC	cc	
-LRB-	.	-LRB-	punct	
B	NOUN	NNP	conj	
-RRB-	.	-RRB-	punct	
any	DET	DT	det	
interest	NOUN	NN	nn	
rate	NOUN	NN	nn	
swap	NOUN	NN	dobj	
,	.	,	punct	
currency	NOUN	NN	nn	
swap	NOUN	NN	conj	
,	.	,	punct	
basis	NOUN	NN	nn	
swap	NOUN	NN	conj	
,	.	,	punct	
interest	NOUN	NN	nn	
rate	NOUN	NN	nn	
cap	NOUN	NN	conj	
,	.	,	punct	
interest	NOUN	NN	nn	
rate	NOUN	NN	nn	
floor	NOUN	NN	conj	
,	.	,	punct	
commodity	NOUN	NN	nn	
swap	NOUN	NN	conj	
,	.	,	punct	
equity	NOUN	NN	nn	
swap	NOUN	NN	conj	
,	.	,	punct	
equity	NOUN	NN	nn	
index	NOUN	NN	nn	
swap	NOUN	NN	conj	
,	.	,	punct	
credit	NOUN	NN	nn	
default	NOUN	NN	nn	
swap	NOUN	NN	conj	
,	.	,	punct	
or	CONJ	CC	cc	
similar	ADJ	JJ	amod	
agreement	NOUN	NN	conj	
.	.	.	punct	
The	DET	DT	det	
amendments	NOUN	NNS	nsubj	
made	VERB	VBN	partmod	
by	ADP	IN	prep	
this	DET	DT	det	
section	NOUN	NN	pobj	
shall	VERB	MD	aux	
apply	VERB	VB	ROOT	
to	ADP	IN	prep	
taxable	ADJ	JJ	amod	
years	NOUN	NNS	pobj	
beginning	VERB	VBG	partmod	
after	ADP	IN	prep	
the	DET	DT	det	
date	NOUN	NN	pobj	
of	ADP	IN	prep	
the	DET	DT	det	
enactment	NOUN	NN	pobj	
of	ADP	IN	prep	
this	DET	DT	det	
Act	NOUN	NNP	pobj	
.	.	.	punct	
