excepted,RegulatoryOperators
represent,LogicalConnectors
externally,Attributes
12 u.s.c. 1817(j),LegalReferences
proposed,FunctionWords
consolidated,RegulatoryOperators
jurisdiction,EconomicOperands
pursuant,FunctionWords
results,RegulatoryOperators
existing,Attributes
report,LegalReferences
cease,RegulatoryOperators
committee,EconomicOperands
entity,EconomicOperands
(h),LegalReferences
determined,RegulatoryOperators
coordination,LegalReferences
functionally,LogicalConnectors
completion,FunctionWords
25,Attributes
group,RegulatoryOperators
monitor,RegulatoryOperators
voting shares,EconomicOperands
title,LegalReferences
commercial firm,EconomicOperands
except,LegalReferences
operational,EconomicOperands
reporting requirements,EconomicOperands
treatment,RegulatoryOperators
employed,Attributes
has,FunctionWords
oversight,RegulatoryOperators
holding company,EconomicOperands
activities,EconomicOperands
commodity trading adviser,EconomicOperands
amended,RegulatoryOperators
house of representatives,EconomicOperands
means,RegulatoryOperators
read,LegalReferences
evaluate,RegulatoryOperators
safe,Attributes
fullest extent,FunctionWords
thereof has been,FunctionWords
permissible,Attributes
advised,RegulatoryOperators
not,LogicalConnectors
immediately,Attributes
years,Attributes
procedures,LegalReferences
condition,FunctionWords
fullest extent possible,FunctionWords
"""commercial firm""",EconomicOperands
term,FunctionWords
subsidiaries,EconomicOperands
necessary,RegulatoryOperators
publicly traded,RegulatoryOperators
follows,FunctionWords
incidental,FunctionWords
applicable,LogicalConnectors
effective date,RegulatoryOperators
convenience,FunctionWords
not later,LogicalConnectors
identify,RegulatoryOperators
enforce,RegulatoryOperators
available,FunctionWords
exceed,LogicalConnectors
order issued,RegulatoryOperators
financial,EconomicOperands
directly,RegulatoryOperators
thereof has,FunctionWords
senate,EconomicOperands
generally,FunctionWords
consistent,Attributes
reduce,FunctionWords
direct,Attributes
financial statements,EconomicOperands
sec,LegalReferences
are,LogicalConnectors
apply,RegulatoryOperators
indirect,Attributes
employment,Attributes
subject,LegalReferences
category,Attributes
provided,RegulatoryOperators
for,FunctionWords
matter,RegulatoryOperators
federal,EconomicOperands
moratorium,LegalReferences
section,LegalReferences
prior approval,RegulatoryOperators
securities and exchange commission,EconomicOperands
case,LegalReferences
paragraph,LegalReferences
safety,FunctionWords
assuring,RegulatoryOperators
new,FunctionWords
(1) notice procedures,LegalReferences
acting in concert),RegulatoryOperators
inserting,LegalReferences
be,FunctionWords
nature,FunctionWords
approvals,RegulatoryOperators
pose,FunctionWords
home owners,EconomicOperands
agencies,EconomicOperands
promptly,Attributes
reported,LegalReferences
protection,RegulatoryOperators
if,LogicalConnectors
extent,FunctionWords
consideration,LegalReferences
november,Attributes
appears,RegulatoryOperators
change,RegulatoryOperators
operations,EconomicOperands
obtained,RegulatoryOperators
restrictions,EconomicOperands
engage,RegulatoryOperators
(b),LegalReferences
avoid,FunctionWords
treated,RegulatoryOperators
be based,FunctionWords
annual,Attributes
(3) report,LegalReferences
subparagraphs,LegalReferences
feasible,RegulatoryOperators
